Perfect,Ed Sheeran
Rockstar,Post Malone Featuring 21 Savage
Havana,Camila Cabello Featuring Young Thug
Gucci Gang,Lil Pump
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
Thunder,Imagine Dragons
MotorSport,"Migos, Nicki Minaj & Cardi B"
Too Good At Goodbyes,Sam Smith
All I Want For Christmas Is You,Mariah Carey
Bad At Love,Halsey
River,Eminem Featuring Ed Sheeran
Bodak Yellow (Money Moves),Cardi B
New Rules,Dua Lipa
Gummo,6ix9ine
Him & I,G-Eazy & Halsey
I Fall Apart,Post Malone
What Lovers Do,Maroon 5 Featuring SZA
Let You Down,NF
I Get The Bag,Gucci Mane Featuring Migos
Feel It Still,Portugal. The Man
Sorry Not Sorry,Demi Lovato
Love.,Kendrick Lamar Featuring Zacari
Wolves,Selena Gomez X Marshmello
Shape Of You,Ed Sheeran
Mi Gente,J Balvin & Willy William Featuring Beyonce
Plain Jane,A$AP Ferg Featuring Nicki Minaj
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj
Meant To Be,Bebe Rexha & Florida Georgia Line
The Weekend,SZA
Rockin' Around The Christmas Tree,Brenda Lee
How Long,Charlie Puth
It's The Most Wonderful Time Of The Year,Andy Williams
Young Dumb & Broke,Khalid
1-800-273-8255,Logic Featuring Alessia Cara & Khalid
Bank Account,21 Savage
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
The Christmas Song (Merry Christmas To You),Nat King Cole
A Holly Jolly Christmas,Burl Ives
Silence,Marshmello Featuring Khalid
Believer,Imagine Dragons
Sky Walker,Miguel Featuring Travis Scott
End Game,Taylor Swift Featuring Ed Sheeran & Future
Last Christmas,Wham!
Attention,Charlie Puth
Ric Flair Drip,Offset & Metro Boomin
Lemon,N*E*R*D & Rihanna
Unforgettable,French Montana Featuring Swae Lee
That's What I Like,Bruno Mars
Feliz Navidad,Jose Feliciano
Jingle Bell Rock,Bobby Helms
Roll In Peace,Kodak Black Featuring XXXTENTACION
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black"
Kooda,6ix9ine
Rubbin Off The Paint,YBN Nahmir
Like I Loved You,Brett Young
Lights Down Low,MAX Featuring gnash
Candy Paint,Post Malone
...Ready For It?,Taylor Swift
Greatest Love Story,LANCO
Good Old Days,Macklemore Featuring Kesha
What About Us,P!nk
Marry Me,Thomas Rhett
Codeine Dreaming,Kodak Black Featuring Lil Wayne
I'll Name The Dogs,Blake Shelton
Yours,Russell Dickerson
Tennessee Rain,Addison Agen
The Race,Tay-K
Wish I Didn't Love You,Chloe Kohanski
Round Here Buzz,Eric Church
My Dawg,Lil Baby
Light It Up,Luke Bryan
Tell Me You Love Me,Demi Lovato
Pick It Up,Famous Dex Featuring A$AP Rocky
Echame La Culpa,Luis Fonsi & Demi Lovato
Look What You Made Me Do,Taylor Swift
Betrayed,Lil Xan
Losing Sleep,Chris Young
MIC Drop,BTS Featuring Desiigner
No Smoke,YoungBoy Never Broke Again
